IdRegional;Municipio
1;0 - 20 DE JULIO - NARINO
2;14208 - ABASTICOS - CUNDINAMARCA
3;2001 - ABEJORRAL - ANTIOQUIA
4;0 - ABISINIA - ANTIOQUIA
5;22001 - ABREGO - NORTE DE SANTANDER
6;2002 - ABRIAQUI - ANTIOQUIA
7;0 - ABROJAL - CORDOBA
8;20001 - ACACIAS - META
9;12001 - ACANDI - CHOCO
10;0 - ACAPULCO - CUNDINAMARCA
11;27001 - ACAPULCO - SANTANDER
12;31007 - ACARICUARA - VAUPES
13;18086 - ACEVEDO - HUILA
14;0 - ACHI - BOLIVAR
15;5078 - ACHI  - BOLIVAR
16;0 - ACHIOTE - SUCRE
17;0 - ACHIRAL - CAUCA
18;0 - ACHIRAL - TOLIMA
19;0 - ACO - TOLIMA
20;0 - ACOSO - CHOCO
21;0 - AEROPUERTO - ANTIOQUIA
22;0 - AEROPUERTO LA PISTA - NORTE DE SANTANDER
23;0 - AFRO COLOMBIANOS BAJO AMARON - PUTUMAYO
24;0 - AFRO COLOMBIANOS PUERTO COLON - PUTUMAYO
25;18001 - AGRADO - HUILA
26;0 - AGROVILLA - CALDAS
27;0 - AGUA AZUL - CAUCA
28;0 - AGUA BLANCA - BOYACA
29;0 - AGUA BLANCA - CAQUETA
30;27003 - AGUA BLANCA - SANTANDER
31;0 - AGUA BLANCA - TOLIMA
32;0 - AGUA BONITA - CALDAS
33;0 - AGUA BONITA - CUNDINAMARCA
34;0 - AGUA CLARA - NORTE DE SANTANDER
35;0 - AGUA CLARA (GOLONDRO) - CAUCA
36;0 - AGUA CLARA CANELAR - CAUCA
37;0 - AGUA CLARAS - TOLIMA
38;14001 - AGUA DE DIOS - CUNDINAMARCA
39;22003 - AGUA DE LA VIRGEN - NORTE DE SANTANDER
40;0 - AGUA FRIA - CESAR
41;27002 - AGUA FRIA - SANTANDER
42;0 - AGUA LINDA - ANTIOQUIA
43;0 - AGUA LINDA - SANTANDER
44;0 - AGUA MANZA - VALLE DEL CAUCA
45;0 - AGUA NEGRA - SANTANDER
46;0 - AGUA NEGRO - BOYACA
47;0 - AGUA SANTA - ARAUCA
48;0 - AGUA SUCIA - BOLIVAR
49;0 - AGUA TENDIDA - BOYACA
50;0 - AGUA VIVAS - CORDOBA
51;0 - AGUABLANCA - CUNDINAMARCA
52;0 - AGUABLANCA - NORTE DE SANTANDER
53;7001 - AGUABONITA - CALDAS
54;0 - AGUACATAL - NARINO
55;0 - AGUACATE - CHOCO
56;0 - AGUACATE - SUCRE
57;0 - AGUACHICA - ARAUCA
58;11001 - AGUACHICA - CESAR
59;9023 - AGUACLARA - CASANARE
60;30001 - AGUACLARA - VALLE DEL CAUCA
61;27124 - AGUADA - SANTANDER
62;4044 - AGUADA DE PABLO - ATLANTICO
63;4055 - AGUADA DE PABLO (CORREGIMIENTO) - ATLANTICO
